A,Element	,A,N,Energy,Unc,JPi,T1/2 (txt),E Gamma   	,Unc,I Gamma  Unc,M Gamma   	,M Ratio,Unc    Conv C              Unc,B(M1),Unc,  B(E2),Unc
16,O      	,8,8,9844.5,5,2+,0.62 KEV 10,2927.1    	,8,347,[M1]      	,        	,       	                   	,0.0042    	,, 8	,	
19,F      	,9,10,7660.6,9,3/2+,2.2 EV 7,3110.7    	,,5.13,M1        	,-0.11   	,     13	                   	,0.15      	,, 5	,	
19,F      	,9,10,8137.7,12,1/2+,0.3 KEV LE,1883      	,,31,M1        	,        	,       	                   	,0.28      	,,  	,	
19,F      	,9,10,8137.7,12,1/2+,0.3 KEV LE,4229.5    	,,542,M1        	,        	,       	                   	,0.44      	,,  	,	
19,F      	,9,10,8137.7,12,1/2+,0.3 KEV LE,2200      	,,105,M1        	,        	,       	                   	,0.58      	,,  	,	
19,F      	,9,10,8310,12,5/2+,0.047 KEV 19,3932      	,,402,M1        	,-0.14   	,      7	                   	,0.22      	,, 5	,	
20,F      	,9,11,656.02,3,3+,305 FS 21,656.00    	,3,100,[M1+E2]   	,0.10    	,      5	                   	,0.252     	,,17	,	
20,F      	,9,11,822.73,3,4+,55 PS 4,166.78    	,5,66.824,[M1]      	,        	,       	                   	,5.72E-2   	,,48	,	
20,F      	,9,11,1056.848,4,1+,5.1 FS 11,1056.78   	,3,100,[M1]      	,        	,       	                   	,3.59      	,,78	,	
20,F      	,9,11,2043.98,3,2+,2.7 FS 5,2043.89   	,6,7.56,[M1]      	,        	,       	                   	,7.1E-2    	,,14	,	
20,F      	,9,11,2043.98,3,2+,2.7 FS 5,1387.90   	,3,91.86,[M1]      	,        	,       	                   	,2.8       	,, 5	,	
20,F      	,9,11,2194.3,3,(3+),2.9 FS 8,1371.53   	,4,51.219,[M1]      	,        	,       	                   	,1.52      	,,45	,	
20,F      	,9,11,2194.3,3,(3+),2.9 FS 8,2194.16   	,3,4719,[M1]      	,        	,       	                   	,0.34      	,,10	,	
20,F      	,9,11,2966.11,3,3+,3.6 FS 8,2309.96   	,6,12.211,[M1]      	,        	,       	                   	,5.9E-2    	,,14	,	
20,F      	,9,11,2966.11,3,3+,3.6 FS 8,2143.26   	,3,58.316,[M1]      	,        	,       	                   	,0.357     	,,76	,	
20,F      	,9,11,2966.11,3,3+,3.6 FS 8,771.71    	,10,2.46,[M1]      	,        	,       	                   	,0.31      	,,10	,	
20,F      	,9,11,2966.11,3,3+,3.6 FS 8,2965.90   	,9,27.114,[M1]      	,        	,       	                   	,6.3E-2    	,,14	,	
20,F      	,9,11,3488.41,3,1+,8.1 FS 5,3488.13   	,4,72.625,[M1]      	,        	,       	                   	,4.58E-2   	,,32	,	
20,F      	,9,11,3488.41,3,1+,8.1 FS 5,2431.43   	,99,7.129,[M1]      	,        	,       	                   	,1.32E-2   	,,55	,	
20,F      	,9,11,3526.31,4,0+,3.8 FS 4,2469.34   	,4,100,[M1]      	,        	,       	                   	,0.378     	,,41	,	
21,F      	,9,12,1730.4,6,3/2+,0.05 PS 4,1450.5    	,2,2225,[M1]      	,        	,       	                   	,0.026     	,,21	,	
21,F      	,9,12,1730.4,6,3/2+,0.05 PS 4,1730.28   	,8,10025,[M1]      	,        	,       	                   	,0.07      	,, 6	,	
21,F      	,9,12,3517.67,7,"(3/2,5/2)+",0.7 PS LT,3517.40   	,10,1004,[M1]      	,        	,       	                   	,0.00038   	,>,  	,	
21,F      	,9,12,3517.67,7,"(3/2,5/2)+",0.7 PS LT,1787.16   	,8,924,[M1]      	,        	,       	                   	,0.0026    	,>,  	,	
21,F      	,9,12,3517.67,7,"(3/2,5/2)+",0.7 PS LT,3517.40   	,10,1004,[M1]      	,        	,       	                   	,0.00038   	,>,  	,	
21,F      	,9,12,3517.67,7,"(3/2,5/2)+",0.7 PS LT,1787.16   	,8,924,[M1]      	,        	,       	                   	,0.0026    	,>,  	,	
22,F      	,9,13,709.1,3,(2+),57 FS 28,637.4     	,2,1007,[M1]      	,        	,       	                   	,1.5       	,, 8	,	
18,NE     	,10,8,3616.4,6,2+,44 FS +21-14,1729      	,,912,M1        	,        	,       	                   	,0.088     	,,38	,	
19,NE     	,10,9,1536,4,3/2+,19 FS 8,1297.7    	,,953,M1        	,        	,       	                   	,0.50      	,,28	,	
21,NE     	,10,11,350.727,8,5/2+,7.13 PS 14,350.725   	,8,100,M1+E2     	,-0.075  	,      3	                   	,0.0712    	,,14	24.3,	20
21,NE     	,10,11,1745.91,19,7/2+,52 FS 4,1395.131  	,17,10018,M1+E2     	,-0.14   	,      2	                   	,0.146     	,,12	11,	4
21,NE     	,10,11,2794.17,3,1/2+,5.5 FS 7,2793.94   	,5,1003,M1        	,        	,       	                   	,0.184     	,,24	,	
21,NE     	,10,11,2866.6,2,9/2+,40 FS 4,1120.0    	,3,1005,M1+E2     	,-0.08   	,      2	                   	,0.24      	,, 3	9,	5
21,NE     	,10,11,3735.59,14,5/2+,10 FS LT,3735.2    	,2,1003,M1+E2     	,-0.15   	,      2	                   	,0.034     	,>,  	0.30,	>
21,NE     	,10,11,3735.59,14,5/2+,10 FS LT,3384.6    	,2,142,M1+E2     	,-0.55   	,     10	                   	,0.0046    	,>,  	0.71,	>
21,NE     	,10,11,4433.3,7,11/2+,22 FS 3,1567.2    	,10,1005,M1+E2     	,-0.10   	,      3	                   	,0.20      	,, 4	6,	4
21,NE     	,10,11,4684.53,15,3/2+,11 FS 3,4683.94   	,25,5921,M1        	,        	,       	                   	,0.0071    	,,20	,	
21,NE     	,10,11,4684.53,15,3/2+,11 FS 3,4333.35   	,25,1003,M1        	,        	,       	                   	,0.015     	,, 5	,	
21,NE     	,10,11,4684.53,15,3/2+,11 FS 3,1890.4    	,3,3.86,(M1)      	,        	,       	                   	,0.0069    	,,22	,	
21,NE     	,10,11,6174.2,17,(5/2)+,9 FS 4,4429      	,2,10011,M1+E2     	,-0.09   	,+5-4   	                   	,0.012     	,, 6	0.04,	+5-4
21,NE     	,10,11,6174.2,17,(5/2)+,9 FS 4,2438      	,2,3611,M1+E2     	,-1.6    	,+15-6  	                   	,0.008     	,+11-8,  	24,	19
21,NE     	,10,11,6267,16,9/2+,24 FS 12,3400.1    	,16,10011,M1+E2     	,+0.02   	,+5-8   	                   	,0.016     	,, 9	0.004,	+22-4
21,NE     	,10,11,6448.3,10,(13/2+),14 FS LT,2015      	,3,10012,M1+E2     	,-0.3    	,LT     	                   	,0.14      	,>,  	,	
22,NE     	,10,12,4456.2,9,2+,3.7 FS 25,3181.4    	,,10021,M1+E2     	,+0.09   	,      2	                   	,0.18      	,,12	1.0,	8
22,NE     	,10,12,5329.6,13,1+,1.2 FS 3,4054.6    	,,5012,M1+E2     	,+1.9    	,      5	                   	,0.020     	,,11	31,	12
22,NE     	,10,12,5363.4,11,2+,69 FS 12,4088.4    	,,1004,M1+E2     	,-0.19   	,      4	                   	,0.0039    	,, 8	0.06,	3
22,NE     	,10,12,5523.3,6,(4)+,21 FS 3,2166.1    	,5,1006,M1        	,        	,       	                   	,0.102     	,,15	,	
22,NE     	,10,12,5641.2,7,3+,3 FS LT,4366.1    	,10,1003,M1+E2     	,+0.15   	,      2	                   	,0.059     	,>,  	0.36,	>
22,NE     	,10,12,6119.9,16,2+,14 FS 7,4844.8    	,,1004,M1+E2     	,+2.3    	,      3	                   	,0.0017    	,,10	2.7,	14
22,NE     	,10,12,6119.9,16,2+,14 FS 7,1663.6    	,,10.313,M1+E2     	,+1.1    	,      3	                   	,0.012     	,, 8	38,	22
22,NE     	,10,12,6345.1,10,4+,13 FS 3,2987.7    	,9,100,M1+E2     	,+0.68   	,     16	                   	,0.043     	,,12	16,	7
22,NE     	,10,12,6635.8,8,"(3,4)+",49 FS 21,3278.3    	,,896,M1+E2     	,-0.9    	,      3	                   	,0.0033    	,,18	1.8,	10
22,NE     	,10,12,6635.8,8,"(3,4)+",49 FS 21,3278.3    	,,896,M1+E2     	,-0.9    	,      3	                   	,0.0033    	,,18	1.8,	10
22,NE     	,10,12,6819.4,16,2+,3 FS LT,2363.1    	,,10016,M1+E2     	,+2.5    	,      4	                   	,0.021     	,>,  	2.1E+2,	>
22,NE     	,10,12,7341.1,11,0+,3 FS LT,2011.4    	,,1008,(M1)      	,        	,       	                   	,0.51      	,>,  	,	
22,NE     	,10,12,7341.2,11,(4)+,35 FS 21,3983.5    	,10,966,M1+E2     	,-0.7    	,      3	                   	,0.0033    	,,22	0.7,	6
21,NA     	,11,10,331.9,10,5/2+,7.08 PS 8,331.91    	,10,100,M1+E2     	,+0.083  	,      3	                   	,0.0845    	,,10	39,	3
21,NA     	,11,10,1716.1,3,7/2+,37 FS 8,1384.1    	,3,10022,M1+E2     	,+0.14   	,      3	                   	,0.20      	,, 5	16,	8
21,NA     	,11,10,2423.8,4,1/2+,1.7 FS 4,2423.3    	,5,100,[M1]      	,        	,       	                   	,0.91      	,,22	,	
21,NA     	,11,10,3544.3,4,5/2+,15.5 EV 14,3544.0    	,6,1003,M1+E2     	,+0.07   	,      2	                   	,15.39     	,, 5	40,	30
22,NA     	,11,11,657,14,0+,19.6 PS 7,73.9      	,1,100,M1        	,        	,       	0.00359            	,2.77      	,,10	,	
22,NA     	,11,11,890.89,20,4+,10.0 PS 3,890.87    	,20,100,M1+E2     	,+3.2    	,      3	                   	,0.00028   	,, 5	25.1,	9
22,NA     	,11,11,1528.1,3,5+,3.42 PS 24,637.50    	,20,4.713,M1+E2     	,+2.11   	,     15	                   	,0.00020   	,, 7	16,	5
22,NA     	,11,11,1936.9,2,1+,13 FS 4,1280.5    	,10,10013,M1        	,        	,       	2.34E-5            	4,0.80      	,,25	,	
22,NA     	,11,11,2968.6,6,3+,32 FS 4,1016.8    	,5,100,M1        	,        	,       	                   	,0.65      	,, 9	,	
22,NA     	,11,11,3059.4,6,2+,23 FS 3,2476.2    	,3,31,M1+E2     	,+0.13   	,      7	4.46E-4            	,0.0018    	,, 7	0.03,	2
22,NA     	,11,11,3059.4,6,2+,23 FS 3,1107.6    	,5,1001,M1        	,        	,       	9.53E-6            	14,0.68      	,, 9	,	
22,NA     	,11,11,3706.7,4,6+,59 FS 12,2176.5    	,10,399,M1+E2     	,+6      	,      3	4.01E-4            	9,0.0003    	,, 2	15,	5
22,NA     	,11,11,4071.4,6,4+,0.7 FS LT,2088.2    	,5,1002,M1        	,        	,       	2.83E-4            	,3.0       	,>,  	,	
22,NA     	,11,11,4319,5,1+,17 FS 10,3662.0    	,,100,M1        	,        	,       	9.06E-4            	,0.026     	,,16	,	
22,NA     	,11,11,4360,4,2+,5.0 FS 14,2408.1    	,3,1005,M1        	,        	,       	4.15E-4            	,0.24      	,, 7	,	
22,NA     	,11,11,4710,4,(5+),37 FS 14,638.6     	,,836,M1        	,        	,       	                   	,1.0       	,, 4	,	
22,NA     	,11,11,4770,2,3+,5.9 PS 14,2818      	,,100,M1        	,        	,       	5.85E-4            	,0.00017   	,, 4	,	
22,NA     	,11,11,5062.5,4,(2+),14 FS LT,3110.6    	,4,100,M1        	,        	,       	7.01E-4            	,0.052     	,>,  	,	
22,NA     	,11,11,5100.4,13,4+,38 FS 12,4209.1    	,,4114,M1+E2     	,1       	,GT     	                   	,0.00086   	,<,  	0.12,	>
22,NA     	,11,11,5100.4,13,4+,38 FS 12,1029.0    	,,1009,[M1]      	,        	,       	                   	,0.20      	,, 7	,	
23,NA     	,11,12,440.2,4,5/2+,1.14 PS 7,440.5     	,6,100,M1+E2     	,+0.065  	,      5	                   	,0.225     	,,14	32,	6
23,NA     	,11,12,2076.2,4,7/2+,27 FS 3,1636.6    	,8,10011,M1+E2     	,+0.19   	,      1	1.12E-4            	,0.164     	,,19	14.6,	22
23,NA     	,11,12,2703.8,5,9/2+,88 FS 7,627.4     	,6,59.83,M1+E2     	,+0.10   	,      2	                   	,0.38      	,, 3	6.E+1,	3
23,NA     	,11,12,2982,5,3/2+,3.3 FS 4,591       	,1,0.5117,[M1]      	,        	,       	                   	,0.10      	,, 4	,	
23,NA     	,11,12,2982,5,3/2+,3.3 FS 4,2981.7    	,8,1003,M1        	,        	,       	6.51E-4            	,0.147     	,,18	,	
23,NA     	,11,12,2982,5,3/2+,3.3 FS 4,2541.3    	,9,70.13,M1+E2     	,-0.09   	,      3	4.72E-4            	,0.166     	,,21	1.4,	10
23,NA     	,11,12,3914.6,4,5/2+,6.9 FS 14,3914      	,1,1004,M1+E2     	,+0.22   	,      3	1.00E-3            	2,0.040     	,, 9	0.8,	3
23,NA     	,11,12,3914.6,4,5/2+,6.9 FS 14,1838      	,1,11.33,M1        	,        	,       	1.82E-4            	,0.046     	,,10	,	
23,NA     	,11,12,3914.6,4,5/2+,6.9 FS 14,932       	,1,2.93,[M1]      	,        	,       	                   	,0.091     	,,21	,	
23,NA     	,11,12,4429.63,16,1/2+,0.21 FS 2,4429.2    	,,1003,M1        	,        	,       	1.16E-3            	,1.10      	,,12	,	
23,NA     	,11,12,4429.63,16,1/2+,0.21 FS 2,2038.6    	,,9.93,[M1]      	,        	,       	2.62E-4            	,1.11      	,,12	,	
23,NA     	,11,12,4775.2,5,7/2+,1.4 FS LT,4335      	,1,10019,M1+E2     	,+0.18   	,      2	1.14E-3            	,0.10      	,>,  	0.93,	>
23,NA     	,11,12,4775.2,5,7/2+,1.4 FS LT,2699      	,1,4418,M1        	,        	,       	5.37E-4            	,0.20      	,>,  	,	
23,NA     	,11,12,5378.56,15,5/2+,143 AS 21,3302.1    	,,3617,M1+E2     	,-0.19   	,     12	7.79E-4            	14,0.95      	,,16	,	
23,NA     	,11,12,5378.56,15,5/2+,143 AS 21,4937.8    	,,10017,M1+E2     	,-0.15   	,      4	1.31E-3            	,0.72      	,,11	5,	4
23,NA     	,11,12,5534.2,6,11/2+,10.4 FS 6,2830      	,1,10014,M1+E2     	,+0.17   	,      3	5.93E-4            	,0.07      	,, 4	1.7,	11
23,NA     	,11,12,5925.8,5,7/2+,13 FS 5,2010      	,1,12.56,M1        	,        	,       	2.51E-4            	,0.014     	,, 6	,	
23,NA     	,11,12,6115.1,6,(11/2)+,35 FS 9,3411      	,1,1009,M1        	,        	,       	8.16E-4            	,0.012     	,, 4	,	
23,NA     	,11,12,6235.4,6,(13/2+),16 FS 8,701       	,1,126,(M1)      	,        	,       	                   	,0.4       	,, 3	,	
23,NA     	,11,12,6578,6,"(9/2+,5/2+)",11 FS LT,4501      	,1,10010,M1+E2     	,-0.25   	,     10	1.19E-3            	2,0.0084    	,>,  	0.045,	>
23,NA     	,11,12,6578,6,"(9/2+,5/2+)",11 FS LT,4501      	,1,10010,M1+E2     	,-0.25   	,     10	1.19E-3            	2,0.0084    	,>,  	0.045,	>
24,NA     	,11,13,1846.012,5,2+,180 FS 35,1373.763  	,5,56.67,M1+E2     	,+0.18   	,      7	                   	,0.0114    	,,17	1.2,	10
24,NA     	,11,13,1885.493,5,3+,26 FS 5,1885.413  	,5,6113,M1+E2     	,-0.07   	,      2	                   	,0.048     	,,10	0.41,	25
24,NA     	,11,13,3655.91,3,"(2+,1+)",14 FS LT,3092.50   	,3,1006,M1        	,        	,       	                   	,0.028     	,>,  	,	
24,NA     	,11,13,3655.91,3,"(2+,1+)",14 FS LT,3092.50   	,3,1006,M1        	,        	,       	                   	,0.028     	,>,  	,	
24,NA     	,11,13,3681.83,3,0+,14 FS LT,3209.40   	,3,10021,M1        	,        	,       	                   	,0.046     	,>,  	,	
24,NA     	,11,13,5967.37,13,0+,7 FS LT,2376.8    	,,133,M1        	,        	,       	                   	,0.023     	,>,  	,	
24,NA     	,11,13,5967.37,13,0+,7 FS LT,4619.1    	,,184,M1        	,        	,       	                   	,0.0044    	,>,  	,	
25,NA     	,11,14,2202,10,3/2+,25 FS 4,2112.5    	,10,364,M1+E2     	,+8      	,      4	                   	,0.0003    	,, 3	24,	5
25,NA     	,11,14,2202,10,3/2+,25 FS 4,1132.8    	,10,496,M1+E2     	,+0.05   	,      9	                   	,0.16      	,, 4	1.8,	+67-18
26,NA     	,11,15,232.7,6,2+,0.9 NS +6-5,232       	,2,1004,M1+E2     	,-0.32   	,     14	                   	,0.0010    	,+6-7,  	11,	10
26,NA     	,11,15,232.7,6,2+,0.9 NS +6-5,153       	,3,75.125,M1+E2     	,+0.16   	,      7	                   	,0.0030    	,+17-20,  	19,	+20-18
26,NA     	,11,15,406.7,5,2+,0.18 NS +17-13,404       	,3,10019,M1+E2     	,-0.25   	,     12	                   	,0.0015    	,+11-14,  	3,	+4-2
26,NA     	,11,15,406.7,5,2+,0.18 NS +17-13,323       	,,14.66,M1+E2     	,+0.14   	,      9	                   	,0.0004    	,+2-3,  	0.5,	+7-4
22,MG     	,12,10,4402,3,2+,21 FS LT,3154.7    	,3,1005,(M1)      	,        	,       	                   	,0.029     	,>,  	,	
22,MG     	,12,10,5035.4,5,2+,0.07 NS LT,3788.0    	,5,1005,(M1)      	,        	,       	                   	,5.1E-6    	,>,  	,	
22,MG     	,12,10,5711.4,7,2+,28 FS 10,4463.5    	,10,1003,M1+E2     	,-0.17   	,     10	                   	,0.007     	,, 3	0.08,	5
23,MG     	,12,11,450.7,15,5/2+,1.15 PS 8,450.70    	,15,100,M1+E2     	,-0.06   	,      2	                   	,0.209     	,,15	24,	+20-13
23,MG     	,12,11,2051.6,4,7/2+,65 FS 12,1601.4    	,13,10024,M1+E2     	,-0.19   	,      2	1.02E-4            	2,0.070     	,+16-11,  	6.5,	+21-16
24,MG     	,12,12,4238.24,3,2+,41 FS 4,2869.50   	,6,26.76,M1+E2     	,-23     	,      9	                   	,9.E-6     	,, 8	3.6,	4
24,MG     	,12,12,5235.12,4,3+,61 FS 7,996.83    	,10,2.72,M1+E2     	,+5.1    	,+12-8  	                   	,0.00035   	,,17	58,	8
24,MG     	,12,12,5235.12,4,3+,61 FS 7,3866.19   	,8,1003,M1+E2     	,-17     	,      4	                   	,2.1E-5    	,,11	2.5,	3
25,MG     	,12,13,974.756,22,3/2+,10.1 PS 10,974.742   	,35,10015,M1+E2     	,+0.36   	,      2	                   	,0.00113   	,,12	0.91,	13
25,MG     	,12,13,974.756,22,3/2+,10.1 PS 10,389.710   	,35,84.815,M1+E2     	,+0.13   	,      3	                   	,0.0166    	,,17	11,	5
25,MG     	,12,13,1611.768,11,7/2+,17 FS 3,1611.712  	,11,100,M1+E2     	,-0.189  	,     12	                   	,0.30      	,, 6	24,	6
25,MG     	,12,13,1964.624,23,5/2+,0.70 PS 6,989.865   	,30,71.914,M1+E2     	,-0.25   	,      2	                   	,0.0093    	,, 9	3.5,	7
25,MG     	,12,13,1964.624,23,5/2+,0.70 PS 6,1964.501  	,45,63.41,M1+E2     	,-0.60   	,     10	                   	,0.00082   	,,11	0.45,	12
25,MG     	,12,13,2737.8,3,7/2+,290 FS 30,2738.0    	,6,6.911,M1+E2     	,-1.2    	,      6	                   	,9.E-5     	,, 6	0.10,	5
25,MG     	,12,13,2737.8,3,7/2+,290 FS 30,773.1     	,7,87,M1+E2     	,+0.47   	,+20-12 	                   	,0.0094    	,,20	20,	15
25,MG     	,12,13,2801.46,3,3/2+,26 FS 3,2216.267  	,50,89.92,M1+E2     	,+0.21   	,      9	                   	,0.028     	,, 4	1.5,	13
25,MG     	,12,13,2801.46,3,3/2+,26 FS 3,2801.312  	,35,47.515,M1+E2     	,-0.64   	,      8	                   	,0.0055    	,, 8	1.7,	4
